"#","Reference","Qty","Value","Footprint","Mfr Part #","LCSC Part #"
"38","D202","1","DDZ12B-7","library:DDZ12B-7","DDZ12B-7","C2760568"
"39","D301","1","Red 100mcd/120°/2mA","library:APT1608LSECK_J3-PRV","APT1608LSECK/J3-PRV","C5357909"
"40","H405","1","hex M2.5/15mm","","1212X15","-"
"41","H406","1","hex M2.5/15mm","","1212X15","-"
"42","H407","1","hex M2.5/15mm","","1212X15","-"
"43","H408","1","hex M2.5/15mm","","1212X15","-"
"44","H409","1","M2.5, L=6mm","","-","-"
"45","H410","1","M2.5, L=6mm","","-","-"
"46","H411","1","M2.5, L=6mm","","-","-"
"47","H412","1","M2.5, L=6mm","","-","-"
"48","H413","1","hex M2.5/20mm","","2212X20","-"
"49","H414","1","hex M2.5/20mm","","2212X20","-"
"50","H415","1","hex M2.5/20mm","","2212X20","-"
"51","H416","1","hex M2.5/20mm","","2212X20","-"
"52","H417","1","M2.5, L=6mm","","-","-"
"53","H418","1","M2.5, L=6mm","","-","-"
"54","H419","1","M2.5, L=6mm","","-","-"
"55","H420","1","M2.5, L=6mm","","-","-"
"56","H421","1","LED light guide","","FIX-LEMB2-10V0-F","-"
"57","H422","1","9V battery holder","library:KEYSTONE-71","79","-"
"58","H423","1","M2, H=3, locking","","-","-"
"59","H424","1","M2, H=3, locking","","",""
"60","H425","1","Washer, H=0.35, D=5","","-","-"
"61","H426","1","Washer, H=0.35, D=5","","-","-"
"62","H427","1","M2, L>7mm","","-","-"
"63","H428","1","M2, L>7mm","","-","-"
"64","J101","1","6.3mm stereo","library:CUI_SJ-63053A","SJ-63053A","-"
"65","J102","1","6.3mm stereo","library:CUI_SJ-63053A","SJ-63053A","-"
"66","J201","1","DC IN 5.5/2.1mm","library:694106301002","694106301002","-"
"67","J202","1","9V Battery Connector","","232","-"
"68","J401","1","Spring Contact","library:KEYSTONE-5201","5201","-"
"69","R101","1","150R","library:ERA-3AEB151V","ERA3AEB151V","C543626"
"70","R102","1","150R","library:ERA-3AEB151V","ERA3AEB151V","C543626"
"71","R103","1","3k9","library:RT0603FRE073K9L","RT0603FRE073K9L","C863790"
"72","R104","1","10M","library:MCA1206MD1005BP100","MCA1206MD1005BP100","C4259100"
"73","R105","1","100R","library:ERA-6AEB101V","ERA-6AEB101V","C445646"
"74","R201","1","10k","library:RT0603BRD0710KL","RT0603BRD0710KL","C95204"
"75","R202","1","100R","library:ERA-6AEB101V","ERA-6AEB101V","C445646"
"76","R203","1","47k","library:RT0603FRD0747KL","RT0603FRD0747KL","C728633"
"77","R204","1","47k","library:RT0603FRD0747KL","RT0603FRD0747KL","C728633"
"78","R301","1","47k","library:RT0603FRD0747KL","RT0603FRD0747KL","C728633"
"79","R302","1","47k","library:RT0603FRD0747KL","RT0603FRD0747KL","C728633"
"80","R303","1","3k9","library:RT0603FRE073K9L","RT0603FRE073K9L","C863790"
"81","R304","1","47k","library:RT0603FRD0747KL","RT0603FRD0747KL","C728633"
"82","R305","1","10k","library:RT0603BRD0710KL","RT0603BRD0710KL","C95204"
"83","Rb101","1","3k9","library:RT0603FRE073K9L","RT0603FRE073K9L","C863790"
"84","Rb102","1","3k9","library:RT0603FRE073K9L","RT0603FRE073K9L","C863790"
"85","Rf101","1","10M","library:MCA1206MD1005BP100","MCA1206MD1005BP100","C4259100"
"86","Rt101","1","2k2","library:RT0603DRD072K2L","RT0603DRD072K2L","C705970"
"87","Rt102","1","2k2","library:RT0603DRD072K2L","RT0603DRD072K2L","C705970"
"88","RV101","1","B10k","","R16148-1A-1-B10K","-"
"89","RV102","1","B10k","","R16148-1A-1-B10K","-"
"90","RV103","1","A10k","","R16148-1A-1-A10K","-"
"91","RV301","1","trim B10k","library:trimpot_TC33X-2-103E","TC33X-2-103E","C719176"
"92","S101","1","SK14D01G6","library:sw_SK14D01G6","SK14D01G6",""
"93","S102","1","SK14D01G6","library:sw_SK14D01G6","SK14D01G6",""
"94","S103","1","0S203011MA2QP1","library:sw_0S203011MA2QP1","0S203011MA2QP1",""
"95","S201","1","EG4208A","library:EG4208A","EG4208A","-"
"96","S301","1","OS102011MA1QN1","library:OS102011MA1QN1","OS102011MA1QN1","-"
"97","U101","1","OPA145","library:OPA145IDBVR","OPA145IDBVR","C2058624"
"98","U102","1","OPA145","library:OPA145IDBVR","OPA145IDBVR","C2058624"
"99","U201","1","ZXMP3A17E6TA","library:ZXMP3A17E6TA","ZXMP3A17E6TA","C154715"
"100","U301","1","BC847BS,115","library:bjt_BC847BS_115","BC847BS,115","C8653"
